isHeading,Artifact Type,module,parentBinding,Name,Primary Text,Description,Within Scope?,Justification
FALSE,Test,Sales,3.1.10.2,ErrorOnRemoveItemsFromEmpty,User receives an error for attempting to remove an item from an empty cart.,Provide shopping cart facility.,TRUE,Test case
FALSE,Test,Sales,3.1.10.2,ErrorOnRemoveInvalidItem,User receives an error for attempting to remove an invalid item.,Provide shopping cart facility.,TRUE,Test case
FALSE,Test,Sales,3.1.10.2,ErrorOnRemoveNonExistantItem,User receives an error for attempting to remove a valid item that's not in the cart.,Provide shopping cart facility.,TRUE,Test case
TRUE,Header,Fulfillment,3.1,3.1.11,Provide multiple shipping methods.,Provide multiple shipping methods.,TRUE,Header
FALSE,Requirement,Fulfillment,3.1.11,3.1.11.1,The system shall display different shipping options provided by shipping department.,Provide multiple shipping methods.,TRUE,Web API
FALSE,Test,Fulfillment,3.1.11.1,GetShippingOptions,User receives a list of shipping options.,Provide multiple shipping methods.,TRUE,Test case
FALSE,Requirement,Fulfillment,3.1.11,3.1.11.2,The system shall enable user to select the shipping method during payment process.,Provide multiple shipping methods.,FALSE,Not a full implementation for production use.
FALSE,Requirement,Fulfillment,3.1.11,3.1.11.3,The system shall display the shipping charges.,Provide multiple shipping methods.,TRUE,Web API
FALSE,Test,Fulfillment,3.1.11.3,GetShippingCharges,User receives a list of shipping charges.,Provide multiple shipping methods.,TRUE,Test case
FALSE,Requirement,Fulfillment,3.1.11,3.1.11.4,The system shall display tentative duration for shipping.,Provide multiple shipping methods.,TRUE,Web API
FALSE,Test,Fulfillment,3.1.11.4,GetShippingDuration,User receives a list of shipping durations.,Provide multiple shipping methods.,TRUE,Test case
TRUE,Header,Fulfillment,3.1,3.1.12,Online tracking of shipments,Online tracking of shipments,TRUE,Header
FALSE,Requirement,Fulfillment,3.1.12,3.1.12.1,The system shall allow user to enter the order information for tracking.,Online tracking of shipments,TRUE,Web API
FALSE,Test,Fulfillment,3.1.12.1,GetInfoForValidOrder,User receives information on a valid order.,Online tracking of shipments,TRUE,Test case
FALSE,Test,Fulfillment,3.1.12.1,ErrorOnInvalidOrder,User receives an error when requesting info on an invalid order.,Online tracking of shipments,TRUE,Test case
FALSE,Requirement,Fulfillment,3.1.12,3.1.12.2,The system shall display the current tracking information about the order.,Online tracking of shipments,TRUE,Web API
FALSE,Test,Fulfillment,3.1.12.2,GetTrackingInfoForValidOrder,User receives tracking information on a valid order.,Online tracking of shipments,TRUE,Test case
FALSE,Test,Fulfillment,3.1.12.2,ErrorOnTrackingInvalidOrder,User receives an error when requesting tracking info on an invalid order.,Online tracking of shipments,TRUE,Test case
TRUE,Header,Sales,3.1,3.1.13,Provide online Tax Calculations,Provide online Tax Calculations,TRUE,Header
FALSE,Requirement,Sales,3.1.13,3.1.13.1,The system shall calculate tax for the order.,Provide online Tax Calculations,FALSE,Not a full implementation for production use.
